date,temp_max,humidity_mean,solar_rad,satellite_id,asset_link,has_satellite_image,vpd_kpa,heat_stress_idx
2023-07-05,38.0,22,30.65,S2A_MSIL2A_20230705T183921_R070_T10SGF_20230706T015917,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/05/S2A_MSIL2A_20230705T183921_N0509_R070_T10SGF_20230706T015917.SAFE/GRANULE/L2A_T10SGF_A041966_20230705T184701/IMG_DATA/R10m/T10SGF_20230705T183921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,5.1673117,8.0
2023-07-06,35.4,28,30.54,,,0,4.1386943,5.4000015
2023-07-07,35.3,34,30.53,,,0,3.772946,5.299999
2023-07-08,34.1,31,30.75,S2A_MSIL2A_20230708T184921_R113_T10SGF_20241014T134017,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/08/S2A_MSIL2A_20230708T184921_N0510_R113_T10SGF_20241014T134017.SAFE/GRANULE/L2A_T10SGF_A042009_20230708T185910/IMG_DATA/R10m/T10SGF_20230708T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.6907752,4.0999985
2023-07-08,34.1,31,30.75,S2A_MSIL2A_20230708T184921_R113_T10SGF_20230709T013006,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/08/S2A_MSIL2A_20230708T184921_N0509_R113_T10SGF_20230709T013006.SAFE/GRANULE/L2A_T10SGF_A042009_20230708T185910/IMG_DATA/R10m/T10SGF_20230708T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.6907752,4.0999985
2023-07-09,31.8,37,30.03,,,0,2.9618194,1.7999992
2023-07-10,34.7,36,30.48,S2B_MSIL2A_20230710T183929_R070_T10SGF_20230711T022112,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/10/S2B_MSIL2A_20230710T183929_N0509_R070_T10SGF_20230711T022112.SAFE/GRANULE/L2A_T10SGF_A033129_20230710T184227/IMG_DATA/R10m/T10SGF_20230710T183929_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.5392766,4.700001
2023-07-11,37.6,21,30.17,,,0,5.121416,7.5999985
2023-07-12,38.7,17,30.26,,,0,5.710116,8.700001
2023-07-13,39.3,19,30.44,S2B_MSIL2A_20230713T184939_R113_T10SGF_20241016T032119,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/13/S2B_MSIL2A_20230713T184939_N0510_R113_T10SGF_20241016T032119.SAFE/GRANULE/L2A_T10SGF_A033172_20230713T185935/IMG_DATA/R10m/T10SGF_20230713T184939_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,5.75493,9.299999
